COMPLAINT/INQUIRY NUMBER,LICENSE TYPE,ACCOUNT NAME,BIC NUMBER,DATE COMPLAINT/INQUIRY REPORTED ON,INDUSTRY TYPE,ACCOUNT STATUS,SOURCE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY DISPOSITION,COMPLAINT/INQUIRY STATUS,TOTAL RESPONSE TIME,COMPLAINT OR INQUIRY,NATURE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY STREET ADDRESS,COMPLAINT/INQUIRY CITY,COMPLAINT/INQUIRY STATE,COMPLAINT/INQUIRY ZIP,COMPLAINT/INQUIRY BOROUGH,ACCOUNT FOCUS OF COMPLAINT/INQUIRY,ACCOUNT ADDRESS,ACCOUNT CITY,ACCOUNT STATE,ACCOUNT ZIP,ACCOUNT PHONE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE TYPE,VEHICLE YEAR,VEHICLE COLOR,CONTACTED COMPLAINANT,UNABLE TO CONTACT COMPLAINANT,METHOD USED TO CONTACT COMPLAINANT,EXPORT DATE,Borough,Latitude,Longitide,Community Board,Council District,Census Tract,BIN,BBL,NTA
2012-00172,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-02179,,,TWC-NaN,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,139-32 Laurelton Parkway,nyc,NY,,NYC,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193255,,,,11/29/2016,Trade Waste,,MAIL,Resolved,Closed,6.0,Complaint,Other - All,350 West 50th St,New York,NY,10019,Manhattan,,,,,,,,,,,,False,True,,2024-02-21,MANHATTAN,40.762988,-73.987791,4,3,127,1077841,1010407501,Clinton
2009-00225,,SANITATION SALVAGE CORP.,TWC-172,,Trade Waste,,FAX,Unsubstantiated,Closed,,Inquiry,Soliciting - Trade Waste,"486, 471A, 480 Lenox Ave",NYC,NY,,,SANITATION SALVAGE CORP.,421 MANIDA STREET,BRONX,RENEWAL PENDING,,(718) 893-9300,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00239,,,,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194842,Trade Waste,ACTION CARTING ENVIRONMENTAL SERVICES INC.,BIC-1181,05/01/2019,Trade Waste,Active,E-Mail,Resolved,Closed,5.0,Complaint,Quality of Life-Noise - Trade Waste,,,,,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,"300 FRANK W. BURR BLVD, STE. 39",TEANECK,NJ,07666,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2013-00481,,SANITATION SALVAGE CORP.,TWC-172,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,84 City Island Avenue,Bronx,NY,10464-,Bronx,SANITATION SALVAGE CORP.,421 MANIDA STREET,BRONX,RENEWAL PENDING,10464-,(718) 893-9300,,,,,,False,False,,2024-02-21,BRONX,40.840061,-73.7838,10,13,516,2100711,2056390005,Pelham Bay-Country Club-City Island
2010-00888,,,TWC-3435,,Trade Waste,,PHONE - OTHER,Referred To BIC Legal,Closed,,Inquiry,Information - All,,,,,,TELL CAR TRUCKING,1593 GATES AVE,BROOKLYN,APPROVED,,(718) 885-6335,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00684,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00762,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Recycling - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195781,Trade Waste,MR. DEMOLITION INC.,BIC-2440,12/31/2020,Trade Waste,Active,PHONE - OTHER,Resolved,Closed,0.0,Complaint,Containers-Unremoved - Trade Waste,Brigham Street between Emmons Ave and Shore Pkwy,Brooklyn,NY,,Brooklyn,MR. DEMOLITION INC.,1579 47TH STREET,BROOKLYN,NY,11219-,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-195790,,,,01/12/2021,Trade Waste,,WEB-MAIL,Referred to Another Agency,Closed,0.0,Complaint,Other - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2008-00944,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Recycling - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01671,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193263,,"WASTE CONNECTIONS OF NEW YORK, INC.",,12/05/2016,Trade Waste,,E-Mail,Resolved,Closed,7.0,Complaint,Quality of Life-Noise - Trade Waste,110 West 20th Street,New York,NY,,Manhattan,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2010-01503,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unable to Contact Complainant,Closed,,Inquiry,Service - All,1480 Fulton St.,UNKNOWN,NY,,Brooklyn,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00580,,,TWC-NaN,,Trade Waste,,MAIL,Resolved,Closed,,Inquiry,FOIL - All,475 Park Avenue South,New York,NY,10016-,NYC,N/A,,,,10016-,,,,,,,False,False,,2024-02-21,MANHATTAN,40.745646,-73.982378,5,2,72,1018471,1008870095,Murray Hill-Kips Bay
2013-00778,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Information - All,609 Columbus Avenue,UNKNOWN,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194292,,,,08/29/2018,Trade Waste,,PHONE - 6300,Insufficient Information,Closed,1.0,Complaint,Unlicensed Carter - Trade Waste,229th Street and 118th Avenue,Queens,NY,11411,Queens,,,,,,,,,,,,False,True,Phone Call,2024-02-21,,,,,,,,,
2011-00547,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred back to 311,Closed,,Complaint,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193884,,,,02/13/2018,Trade Waste,,WEB-MAIL,Unsubstantiated,Closed,10.0,Complaint,Other - All,181-25 Eastern Road,Queens,NY,11430,Queens,,,,,,,,,,,,False,True,Phone Call,2024-02-21,QUEENS,40.653478,-73.766948,83,31,716,4000000,4142600070,Airport
COMP-196758,Trade Waste,"METROPOLITAN PAPER RECYCLING, INC.",BIC-1431,01/04/2023,Trade Waste,Active,WEB-MAIL,Resolved,Closed,0.0,Complaint,Quality of Life-Noise - Trade Waste,589 E New York Ave,Brooklyn,NY,11225,Brooklyn,"METROPOLITAN PAPER RECYCLING, INC.",847 SHEPHERD AVENUE,BROOKLYN,NY,11208-,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.662025,-73.943429,9,40,806,3035484,3013320038,Prospect Lefferts Gardens-Wingate
COMP-196891,Trade Waste,CARDELLA TRUCKING CO. INC.,BIC-581,05/09/2023,Trade Waste,Active,WEB-MAIL,Resolved,Closed,1.0,Complaint,Unsafe Driving - Trade Waste,145th st and Convent Ave,New York,NY,10031,Manhattan,CARDELLA TRUCKING CO. INC.,2400 TONNELLE AVENUE,NO. BERGEN,NJ,07047-,,Kenworth,T880,Roll-off Truck,2018,,True,False,Phone Call,2024-02-21,,,,,,,,,
2012-00997,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00663,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Other - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01498,,,TWC-0,,Trade Waste,,MAIL,Unsubstantiated,Closed,,Inquiry,Unlicensed Carter - Trade Waste,375 Barlow Ave,,NY,,,,,,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-194480,,,,11/14/2018,Trade Waste,,WEB-MAIL,Resolved,Closed,0.0,Inquiry,Other - All,,Australia,,,,,,,,,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
2012-00409,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00837,,,TWC-1059,,Trade Waste,,PHONE - OTHER,Resolved,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,885 2d Ave.,nyc,NY,,NYC,"IESI NY CORPORATION, SUBSIDIARY OF BFI CANADA INC.",1099 WALL STREET WEST,LYNDHURST,RENEWAL APPROVED,,(201) 443-3000,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00837,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01979,,,TWC-0,,Trade Waste,,WALK IN,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste;Waste Oil - Trade Waste,147-30 38 Ave.; Apt L-G,nyc,NY,11354-,Queens,Green Bio Resource Inc.,200 E. 16 St.,Paterson,UNLICENSED,11354-,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196028,,,,06/28/2021,Trade Waste,,WEB-MAIL,Referred to Another Agency,Closed,0.0,Complaint,Disposal - All;Service - All,471 McDonald Avenue,Brooklyn,NY,,Brooklyn,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2011-01035,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred back to 311,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00306,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Quality of Life-Spillage - Trade Waste,10-09 48 Ave.; Long Island City,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
